Policy,Year,Population (B),GDP ($T),GDP After Damage ($T),GDP PC ($K),Emissions (Gt CO₂),CO₂ (ppm),Temp Increase (°C),Climate Damage (%),Pollution Damage (%),Consumption PC ($K),Pop Growth Rate (%)
Dirty Extreme,0,8.0,105.92100000000005,98.61450897394779,12.326813621743474,37.70787600000001,425.0,1.5,0.7348499999999999,6.674294052000001,8.628769535220432,0.0
Dirty Extreme,1,8.08,108.72351253647467,101.12257587416538,12.515170281456111,38.30574192010234,428.71645267605635,1.5016232085495282,0.7364412802644658,6.780116319858114,8.760619197019276,1.0000000000000009
Dirty Extreme,2,8.154779860616484,111.55152764519002,103.64881782282426,12.71019200940007,38.8961201537719,432.52205052678215,1.5051373948014752,0.7398922393232434,6.884613267217627,8.897134406580047,0.925493324461435
Dirty Extreme,3,8.230200454338185,114.4534824952874,106.23514804065789,12.90796604895094,39.49572420230161,436.41432019484637,1.5105681931775092,0.7452411925538418,6.990743183807384,9.035576234265656,0.9248636383913267
Dirty Extreme,4,8.30623849660897,117.4311235578329,108.88268546716742,13.10854311631178,40.104633034890114,440.39434407789116,1.5179409204003556,0.752533638713932,7.098520047175549,9.175980181418245,0.9238905260285035
Dirty Extreme,5,8.382869315507588,120.4862271308988,111.5925466449776,13.31197498671976,40.7229234747223,444.4632104332158,1.527280566767986,0.7618225646162242,7.207957455025847,9.318382490703831,0.922569451020494
Dirty Extreme,6,8.46006681831278,123.62059938222232,114.36584384494166,13.518314488649633,41.35067009930074,448.62201286579676,1.538611787606704,0.7731687476854863,7.319068607576231,9.462820142054742,0.9208959355048618
Dirty Extreme,7,8.537803458798056,126.83607638027497,117.20368307653808,13.727615497609253,41.987945142755365,452.87184980037136,1.5519588949132128,0.7866410559959786,7.4318662902677,9.609330848326477,0.9188655616407804
Dirty Extreme,8,8.616050205372934,130.1345241147884,120.10716198154363,13.939932929667156,42.63481840057781,457.213823938161,1.5673458491956385,0.8023167453895943,7.546362856902271,9.757953050767009,0.9164739731065907
Dirty Extreme,9,8.694776510192463,133.51783850796886,123.07736760931766,14.155322734867314,43.29135713725055,461.64904169890144,1.5847962515233476,0.8202817532779454,7.662570213293347,9.90872591440712,0.9137168765617876
Dirty Extreme,10,8.773950279361598,136.9879454178273,126.11537407242844,14.373841890702478,43.95762599726486,466.1786126489372,1.6043333357952583,0.840630988735531,7.78049980151588,10.061689323491734,0.9105900430715241
Dirty Extreme,11,8.853537844365837,140.5468006352638,129.22224008179532,14.595548395834669,44.63368692004614,470.8036489162361,1.6259799612361976,0.8634686184959883,7.900162584848165,10.216883877084266,0.9070893094920818
Dirty Extreme,12,8.933503934864103,144.19638987676458,132.39900636101316,14.820501264269856,45.31959905932779,475.5252645932807,1.6497586051306943,0.888908348469226,8.02156903350102,10.374350884988898,0.9032105798153278
Dirty Extreme,13,9.01381165298432,147.93872877480234,135.64669294006526,15.048760520212884,46.01541870753773,480.34457512889605,1.6756913558034325,0.9170737004040252,8.144729111234177,10.534132364149018,0.8989498264707407
Dirty Extreme,14,9.09369875984217,151.76861620678272,138.96016363612523,15.28092883940407,46.71896848428775,485.2626967101855,1.703799905855414,0.948098283328407,8.269257421718931,10.696650187582847,0.8862744190067495
Dirty Extreme,15,9.169640822870615,155.652274611118,142.31017272633298,15.519710692635599,47.419445284790704,490.2802743524402,1.7341053399566329,0.9821258263995913,8.393241815407954,10.863797484844918,0.8351064295620381
Dirty Extreme,16,9.241748923229721,159.59117305868887,145.69741256795925,15.765134259570672,48.117110847277154,495.39566427471664,1.766627148672747,1.0193092861608541,8.516728619968056,11.035593981699469,0.786378678860089
Dirty Extreme,17,9.31014168656803,163.58690811374547,149.12263884264152,16.017225501281512,48.81225246448024,500.60729443069,1.8013833035363238,1.0598110579243327,8.639768686213003,11.212057850897057,0.7400413483036772
Dirty Extreme,18,9.374943710160068,167.64119856225255,152.58666273564288,16.276008417018815,49.50517981525265,505.91366919014655,1.8383903327211828,1.1038031664435861,8.762416827299718,11.393205891913171,0.696036921602694
Dirty Extreme,19,9.436284094968,171.75588020070552,156.0903431703384,16.541505278923857,50.1962219634866,511.31337330428437,1.8776633967671184,1.15146743698718,8.884731287537127,11.5790536952467,0.6543013665399888
Dirty Extreme,20,9.494295091652916,175.93290079556212,159.63457918669516,16.81373684361684,50.88572455011072,516.8050751973302,1.919216363863377,1.2029956480014263,9.006773245369597,11.769615790531788,0.6147652624813427
Dirty Extreme,21,9.549110866033832,180.17431530804524,163.2203025381739,17.092722540142265,51.57404719707598,522.387529632,1.9630618842597147,1.2585896666041163,9.128606353882446,11.964905778099585,0.5773548625964686
Dirty Extreme,22,9.600866386383363,184.48228146401166,166.84847056777636,17.378480634249094,52.2615611360008,528.059579799851,2.0092114634326452,1.318461568184137,9.25029632107214,12.164936443974366,0.5419930826609631
Dirty Extreme,23,9.64969643228006,188.85905573424006,170.5200594111855,17.67102836942763,52.94864706860011,533.8201588897399,2.057675533690779,1.3828337413967497,9.37191053114222,12.369719858599339,0.5086004109582376
Dirty Extreme,24,9.69573472251068,193.3069897771692,174.23605756330565,17.970382085514377,53.635693261210356,539.6682911885749,2.108463523956295,1.4519389798435811,9.493517707234233,12.579267459860063,0.4770957361582395
Dirty Extreme,25,9.739113157716497,197.82852738401243,177.9974598341306,18.27655731601184,54.323093871647224,545.6030927684942,2.1615839275091453,1.5260205617124705,9.615187615281558,12.793590121208286,0.44739709209560274
